Year,Make,Model,Mileage,Price,Drive,Engine,Trim,Exterior_color,Interior_color,Location,Accidents
2019,Acura,TLX,0,37195,FWD,3.5L V-6,3.5L FWD,,,"Portland, OR",0
2019,Acura,TLX,0,37195,FWD,3.5L V-6,3.5L FWD,,,"Portland, OR",0
2019,Acura,TLX,0,37195,FWD,3.5L V-6,3.5L FWD,,,"Portland, OR",0
2019,Acura,TLX,0,37195,FWD,3.5L V-6,3.5L FWD,,,"Portland, OR",0
2020,Acura,TLX,0,40795,FWD,2.4L Inline-4,2.4L FWD with A-Spec Package,,,"Fairfield, CA",0
2020,Acura,TLX,0,40425,FWD,2.4L Inline-4,2.4L FWD with A-Spec Package,,,"Fairfield, CA",0
2020,Acura,TLX,0,40425,FWD,2.4L Inline-4,2.4L FWD with A-Spec Package,,,"Fairfield, CA",0
2020,Acura,TLX,0,41095,FWD,3.5L V-6,3.5L FWD with Technology Package,,,"Stockton, CA",0
2020,Acura,TLX,0,33995,FWD,2.4L Inline-4,2.4L FWD,,,"Stockton, CA",0
2020,Acura,TLX,0,36600,FWD,3.5L V-6,3.5L FWD,,,"Stockton, CA",0
2020,Acura,TLX,0,37695,FWD,2.4L Inline-4,2.4L FWD with Technology Package,,,"Stockton, CA",0
2020,Acura,TLX,0,37695,FWD,2.4L Inline-4,2.4L FWD with Technology Package,,,"Stockton, CA",0
2020,Acura,TLX,0,37195,FWD,3.5L V-6,3.5L FWD,,,"Stockton, CA",0
2020,Acura,TLX,0,37100,FWD,2.4L Inline-4,2.4L FWD with Technology Package,,,"Stockton, CA",0
2020,Acura,TLX,0,33995,FWD,2.4L Inline-4,2.4L FWD,,,"Stockton, CA",0
2020,Acura,TLX,0,33995,FWD,2.4L Inline-4,2.4L FWD,,,"Stockton, CA",0
2020,Acura,TLX,0,33995,FWD,2.4L Inline-4,2.4L FWD,,,"Stockton, CA",0
2020,Acura,TLX,0,33995,FWD,2.4L Inline-4,2.4L FWD,,,"Stockton, CA",0
2020,Acura,TLX,0,37195,FWD,3.5L V-6,3.5L FWD,,,"Concord, CA",0
2020,Acura,TLX,0,41525,FWD,3.5L V-6,3.5L FWD with Technology Package,,,"Concord, CA",0
2020,Acura,TLX,0,37195,FWD,3.5L V-6,3.5L FWD,,,"Concord, CA",0
2020,Acura,TLX,0,34025,FWD,2.4L Inline-4,2.4L FWD,,,"Oakland, CA",0
2020,Acura,TLX,0,40395,FWD,2.4L Inline-4,2.4L FWD with A-Spec Package Red Leather,,,"Oakland, CA",0
2020,Acura,TLX,0,40795,FWD,2.4L Inline-4,2.4L FWD with A-Spec Package,,,"Oakland, CA",0
2020,Acura,TLX,0,40795,FWD,2.4L Inline-4,2.4L FWD with A-Spec Package Red Leather,,,"Oakland, CA",0
2020,Acura,TLX,0,34025,FWD,2.4L Inline-4,2.4L FWD,,,"Oakland, CA",0
2020,Acura,TLX,0,34025,FWD,2.4L Inline-4,2.4L FWD,,,"Oakland, CA",0
2020,Acura,TLX,0,34025,FWD,2.4L Inline-4,2.4L FWD,,,"Oakland, CA",0
2020,Acura,TLX,0,34025,FWD,2.4L Inline-4,2.4L FWD,,,"Oakland, CA",0
2020,Acura,TLX,0,37725,FWD,2.4L Inline-4,2.4L FWD with Technology Package,,,"Oakland, CA",0
2020,Acura,TLX,0,34025,FWD,2.4L Inline-4,2.4L FWD,,,"Oakland, CA",0
2020,Acura,TLX,0,34025,FWD,2.4L Inline-4,2.4L FWD,,,"Oakland, CA",0
