Year,Make,Model,Mileage,Price,Drive,Engine,Trim,Exterior_color,Interior_color,Location,Accidents
2018,Acura,TLX,32351,18099.0,FWD,2.4L Inline-4,2.4L FWD with Technology Package,Black,Black,"Norco, CA",3
2017,Acura,TLX,21722,18697.0,FWD,2.4L Inline-4,I4 FWD,Brown,Beige,"Columbus, GA",0
2017,Acura,TLX,29790,18999.0,FWD,3.5L V-6,V6 FWD with Technology Package,Silver,Gray,"Stanton, CA",0
2018,Acura,TLX,10853,18990.0,FWD,2.4L Inline-4,2.4L FWD,Red,Black,"Federal Way, WA",0
2019,Acura,TLX,13462,27900.0,FWD,2.4L Inline-4,2.4L FWD with A-Spec Package,White,Black,"Bellevue, WA",0
2017,Acura,TLX,39743,19800.0,FWD,3.5L V-6,V6 FWD with Technology Package,Red,Black,"Seattle, WA",0
2018,Acura,TLX,30610,22590.0,FWD,2.4L Inline-4,2.4L FWD with Technology Package,Gray,Black,"Redding, CA",0
2017,Acura,TLX,22821,21990.0,FWD,3.5L V-6,V6 FWD with Technology Package,Red,Black,"Redding, CA",0
2017,Acura,TLX,46418,18838.0,FWD,2.4L Inline-4,I4 FWD,Brown,Brown,"Tacoma, WA",0
2019,Acura,TLX,5330,35975.0,SH-AWD,3.5L V-6,3.5L SH-AWD with Advance Package,Black,Unknown,"Issaquah, WA",0
2017,Acura,TLX,29193,19222.0,FWD,2.4L Inline-4,I4 FWD,Black,Black,"Burien, WA",1
2016,Acura,TLX,48105,18444.0,FWD,2.4L Inline-4,FWD,Black,Unknown,"Puyallup, WA",0
2019,Acura,TLX,5764,26991.0,SH-AWD,3.5L V-6,3.5L SH-AWD with Advance Package,Unknown,Gray,"Federal Way, WA",1
2017,Acura,TLX,23773,19488.0,FWD,2.4L Inline-4,I4 FWD,Gray,Black,"Portland, OR",0
2018,Acura,TLX,10889,29080.0,FWD,3.5L V-6,3.5L FWD with Advance Package,White,Black,"Seattle, WA",0
2017,Acura,TLX,30094,18590.0,FWD,2.4L Inline-4,I4 FWD,Black,Gray,"Redding, CA",0
2017,Acura,TLX,27621,19991.0,FWD,3.5L V-6,V6 FWD with Technology Package,Black,Black,"Sarasota, FL",0
2016,Acura,TLX,121079,11995.0,SH-AWD,3.5L V-6,V6 SH-AWD with Technology Package,Black,Beige,"Fort Worth, TX",1
2019,Acura,TLX,3892,34998.0,FWD,3.5L V-6,3.5L FWD with A-Spec Package,Red,Black,"Tumwater, WA",0
2017,Acura,TLX,30283,19821.0,FWD,2.4L Inline-4,I4 FWD with Technology Package,Unknown,Black,"Vancouver, WA",0
2015,Acura,TLX,95831,10931.0,FWD,2.4L Inline-4,FWD with Technology Package,Gray,Brown,"Richardson, TX",0
2018,Acura,TLX,41155,27992.0,SH-AWD,3.5L V-6,3.5L SH-AWD with A-Spec Package,Black,Black,"Bellevue, WA",0
2017,Acura,TLX,37376,20300.0,SH-AWD,3.5L V-6,V6 SH-AWD with Technology Package,White,Black,"Pikeville, KY",0
2017,Acura,TLX,45219,14881.0,FWD,2.4L Inline-4,I4 FWD,Black,Unknown,"Maple Shade, NJ",1
2016,Acura,TLX,33754,16795.0,FWD,2.4L Inline-4,FWD with Technology Package,Black,Brown,"Sierra Vista, AZ",1
2018,Acura,TLX,24334,20999.0,FWD,3.5L V-6,3.5L FWD with Technology Package,Gray,Gray,"Draper, UT",1
2017,Acura,TLX,22768,18922.0,SH-AWD,3.5L V-6,V6 SH-AWD with Technology Package,Red,Black,"Warrenton, VA",1
2017,Acura,TLX,52465,21779.0,SH-AWD,3.5L V-6,V6 SH-AWD with Advance Package,Gray,Black,"Riverdale, UT",0
2018,Acura,TLX,36822,23989.0,FWD,3.5L V-6,3.5L FWD with Technology Package,White,Black,"Modesto, CA",0
2017,Acura,TLX,40339,16900.0,FWD,2.4L Inline-4,I4 FWD,Silver,Black,"Peoria, AZ",0
2017,Acura,TLX,60618,19625.0,SH-AWD,3.5L V-6,V6 SH-AWD with Technology Package,Black,Gray,"Montgomery, AL",0
2017,Acura,TLX,10324,28488.0,SH-AWD,3.5L V-6,V6 SH-AWD with Advance Package,Blue,Black,"Portland, OR",0
2017,Acura,TLX,89131,13500.0,FWD,2.4L Inline-4,I4 FWD with Technology Package,Gray,Black,"Fort Worth, TX",0
2018,Acura,TLX,33088,21328.0,FWD,3.5L V-6,3.5L FWD with Technology Package,White,Beige,"San Antonio, TX",0
2017,Acura,TLX,87846,15000.0,FWD,2.4L Inline-4,I4 FWD with Technology Package,Gray,Unknown,"Tracy, CA",0
2016,Acura,TLX,26095,19886.0,FWD,2.4L Inline-4,FWD with Technology Package,Black,Beige,"Chesapeake, VA",0
2017,Acura,TLX,58486,19988.0,FWD,3.5L V-6,V6 FWD with Technology Package,Silver,Black,"San Jose, CA",0
2017,Acura,TLX,26147,20498.0,FWD,3.5L V-6,V6 FWD with Technology Package,Blue,Black,"Chantilly, VA",0
2017,Acura,TLX,126531,16995.0,SH-AWD,3.5L V-6,V6 SH-AWD with Advance Package,Gray,Black,"Riverside, MO",0
2017,Acura,TLX,51908,17477.0,FWD,2.4L Inline-4,I4 FWD with Technology Package,White,Gray,"Rock Hill, SC",0
2017,Acura,TLX,15788,26240.0,SH-AWD,3.5L V-6,V6 SH-AWD with Advance Package,White,Black,"Manchester, MO",0
2017,Acura,TLX,17756,23895.0,SH-AWD,3.5L V-6,V6 SH-AWD with Technology Package,Gray,Gray,"Greensboro, NC",0
2017,Acura,TLX,60584,14311.0,FWD,2.4L Inline-4,I4 FWD,White,Black,"Jamaica, NY",0
2017,Acura,TLX,80178,16499.0,FWD,3.5L V-6,V6 FWD with Technology Package,Gray,Gray,"Johnston, IA",0
2017,Acura,TLX,66729,16250.0,FWD,2.4L Inline-4,I4 FWD,Silver,Unknown,"Savannah, GA",0
2015,Acura,TLX,97147,14500.0,SH-AWD,3.5L V-6,V6 SH-AWD with Technology Package,Black,Brown,"Eugene, OR",1
2017,Acura,TLX,46623,16537.0,FWD,2.4L Inline-4,I4 FWD with Technology Package,Silver,Black,"Chantilly, VA",0
2017,Acura,TLX,41173,16495.0,FWD,2.4L Inline-4,I4 FWD,Blue,Gray,"Hopkins, MN",0
2017,Acura,TLX,42481,17086.0,FWD,2.4L Inline-4,I4 FWD,Black,Beige,"Columbia, MO",0
2016,Acura,TLX,28961,15766.0,FWD,2.4L Inline-4,FWD,Black,Black,"Dublin, OH",0
2017,Acura,TLX,50008,16577.0,FWD,2.4L Inline-4,I4 FWD,Black,Brown,"Columbia, MO",0
2016,Acura,TLX,18912,22000.0,SH-AWD,3.5L V-6,V6 SH-AWD with Technology Package,Red,Unknown,"Washougal, WA",0
2017,Acura,TLX,45404,22990.0,FWD,3.5L V-6,V6 FWD with Advance Package,Black,Black,"Salem, OR",0
2017,Acura,TLX,20528,20995.0,FWD,3.5L V-6,V6 FWD with Technology Package,Gray,Unknown,"Maple Shade, NJ",0
2015,Acura,TLX,67706,15150.0,FWD,3.5L V-6,V6 FWD with Technology Package,White,Brown,"Las Vegas, NV",0
2018,Acura,TLX,5710,19699.0,FWD,3.5L V-6,3.5L FWD,Unknown,Black,"Lindon, UT",1
2020,Acura,TLX,5207,29909.0,SH-AWD,3.5L V-6,3.5L SH-AWD,Black,Black,"Naperville, IL",0
2017,Acura,TLX,23144,19889.0,FWD,2.4L Inline-4,I4 FWD with Technology Package,White,Unknown,"Maple Shade, NJ",0
2018,Acura,TLX,14029,26990.0,FWD,3.5L V-6,3.5L FWD,Black,Gray,"Redding, CA",0
2017,Acura,TLX,26828,17999.0,FWD,3.5L V-6,V6 FWD with Technology Package,Gray,Black,"West Palm Beach, FL",0
2015,Acura,TLX,32964,14549.0,FWD,2.4L Inline-4,FWD with Technology Package,Blue,Gray,"Denver, CO",0
